,id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom,Count of Amenities,price,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,license
954,8502593,Charming and light apartment,14837099,Li,De Pijp - Rivierenbuurt,52.34408,4.91061,Entire home/apt,2,1,46,140,0,0,0,0,5,30,25,4.8,0363 A52D 4258 5FBD 7B2E
955,8513183,Spacious and bright apartment,37690050,Rick,De Baarsjes - Oud-West,52.37443,4.85949,Entire home/apt,2,1.5,28,301,8,21,39,80,3,10,20,4.9,0363 2F83 5D8D FC71 FC4E
956,8513567,"Private quiet Studio, feel at home in the Pijp.",2540184,Hellen,De Pijp - Rivierenbuurt,52.35221,4.90685,Private room,3,1,32,103,4,18,32,222,3,100,293,4.96,0363617F0496ED18B22E
957,8528299,Amsterdam Delight!,7817130,Sally,Zuid,52.35624,4.8524,Entire home/apt,4,1,51,300,0,0,0,0,2,1125,41,5,036354F05FA4D8FCFF1C
958,8532903,It won't get better than this..,11556461,Jaap,Centrum-Oost,52.37218,4.90604,Entire home/apt,4,1,35,365,2,29,55,291,1,1125,78,4.91,0363 35E3 F02C 1C69 5FD8
959,8535626,Lofthouse in Amsterdam-North,17160542,Adrian,Oud-Noord,52.39655,4.90783,Entire home/apt,4,2.5,51,180,0,0,0,0,5,20,12,4.67,0363 B3F5 9C97 DA7E 3015
960,8551630,"Luxurious apartment, great location",10496065,Melissa & Douwe,De Baarsjes - Oud-West,52.36456,4.87494,Entire home/apt,4,1,58,414,4,14,14,14,3,14,38,4.97,0363 D67C 5FDF D7F8 9B41
961,8573112,Stunning room/bath in bright loft,2895016,Franz And Maria,Oud-Oost,52.35215,4.91222,Private room,2,1.5,24,100,0,0,0,3,3,1125,107,4.84,0363 29E5 CFF2 C90D CB33
962,8578108,120m2 ground apartment with garden near park!,4198054,Nora,Oud-Oost,52.35918,4.92166,Entire home/apt,4,1.5,14,349,5,35,43,273,5,40,10,4.8,0363 AE6D CE13 5E9A 5416
963,8591687,Buenas Noches - The Haven,20358179,Reinout,Centrum-West,52.37568,4.89425,Private room,2,1.5,28,79,1,5,11,232,3,1125,426,4.83,0363 990D 85E3 69A2 FD44
964,8641456,Modern bedroom,23748264,Thuraya,Oostelijk Havengebied - Indische Buurt,52.3618,4.94421,Private room,2,1,21,40,0,0,0,64,6,1125,185,4.81,0363 2511 BAB7 A742 2447
965,8644656,Authentic groundfloor appartment near Amstelcanal,32400196,Femke,Centrum-Oost,52.36184,4.90585,Entire home/apt,4,1.5,30,285,1,1,1,1,2,60,47,4.87,0363 BB4F FFBD E916 EA60
966,8660262,Private room in fresh design apartment,15905757,Christofoor,De Pijp - Rivierenbuurt,52.34182,4.90491,Private room,2,1,26,84,0,18,48,276,2,3,325,4.76,0
967,8660698,Exclusive studio. Sarphatipark de Pijp,45507360,Mike,De Pijp - Rivierenbuurt,52.35578,4.89791,Private room,2,1,33,117,5,17,27,87,3,30,391,4.93,0363 B3C3 77FD ACD1 D077
968,8681273,Garden house in historic Sloterdijk,45588903,Gina,Bos en Lommer,52.38657,4.84589,Entire home/apt,4,1.5,19,200,0,0,0,0,2,1125,104,4.93,Exempt
969,8694687,Central Canalside Design B&B Dream House of Swings,8956501,Gabriella,Westerpark,52.38385,4.87759,Private room,2,1.5,59,111,17,47,77,352,1,30,487,4.9,0363 F0AB AFBE 458F 50C9
970,8707883,Big family house - child friendly,5646772,Jurriaan,IJburg - Zeeburgereiland,52.3634,4.97832,Entire home/apt,6,2,10,207,0,0,0,0,4,15,1,5,0363 A6C7 888E 3556 8D00
971,8708245,Botanical retreat apartment,772135,Remi,Westerpark,52.37879,4.87581,Entire home/apt,2,1.5,56,250,0,0,0,0,3,365,3,5,0363 CBCE 63E3 227D 721C
972,8714969,Cozy apartment on the canal,3466926,Roni,De Baarsjes - Oud-West,52.36865,4.87174,Entire home/apt,4,1,20,250,0,0,0,0,4,15,6,4.8,0363 3495 F225 B2E4 0DAB
973,8725786,"Stylish, renovated apartment near the city!",14191211,Lydia,Oud-Oost,52.35443,4.91673,Entire home/apt,4,1.5,21,188,0,0,0,0,1,30,49,4.96,0363 BCEA DBAC 649B D2C2
974,8743652,Spacious&Trendy 2floor apartment + big roofterrace,3115518,Anoes,Bos en Lommer,52.37643,4.85673,Entire home/apt,2,1.5,51,139,6,29,29,29,1,1125,70,4.91,0363 BA04 35B2 94ED BE87
975,8744580,"White spacious apartment, east Amsterdam (100m2)",3644637,Wouter,Oud-Oost,52.35158,4.91975,Entire home/apt,2,1,19,111,0,0,0,0,2,1124,29,4.9,0363 AA89 A799 7DC7 54C8
976,8749341,Centre - Rooftop Terrace & Unique Colorful Room,45891368,Sas,Centrum-Oost,52.37254,4.90382,Private room,2,1,25,107,17,47,77,156,2,7,327,4.93,0363 B897 E97C E11D 00DE
977,8754550,Beautiful Amstel river view apartment | 3p,41708903,Carolien,De Pijp - Rivierenbuurt,52.35025,4.91065,Entire home/apt,3,1,34,149,0,0,0,0,5,31,61,4.88,0363 4489 0CC5 43BA F830
978,8759098,Lovely Houseboat in Historic Centre!,45934042,Malaika,Centrum-Oost,52.37559,4.90682,Entire home/apt,2,1,31,199,0,0,0,0,2,1125,40,4.97,0363 1E43 7AC3 642F 2767
979,8770120,Lovely 2 bedrooms apartment,3150708,Estanislao,Bos en Lommer,52.37614,4.84966,Entire home/apt,4,1,28,140,2,29,50,50,4,30,34,4.82,0363 B897 8FF3 D6FC 9E3E
980,8776772,Dream Houseboat on Amazing Canal,45917375,Marloes,Centrum-Oost,52.37445,4.90541,Entire home/apt,4,1.5,37,264,0,0,0,0,6,1125,16,4.81,0363 7242 D118 A714 2E2B
981,8792777,floating studio nescio,46076562,Renata,Oud-Noord,52.38726,4.93774,Private room,3,1.5,16,160,22,52,82,349,3,14,106,4.94,0363 B892 9CCA 9D3A EF42
982,8798384,Familie appartement with garden near centrum.,46104716,Hadewijch,Watergraafsmeer,52.3511,4.94085,Entire home/apt,4,1.5,52,155,0,3,12,60,3,30,16,4.88,0
983,8808299,"Authentic, canal view full appartment + free WIFI",46148113,Marcel,Centrum-West,52.37249,4.87565,Private room,2,1.5,19,99,0,0,0,0,2,3,188,4.9,Abcd 1234 AB12 89EF A0F9
984,8826432,Perfect quiet canal apartment!,25503705,Jan,Watergraafsmeer,52.35333,4.92403,Entire home/apt,2,1,19,111,0,0,0,0,2,1125,17,5,0363 A0E2 1255 D099 58C3
985,8835898,Room in a charming canal house - 23,24002310,Hans,Centrum-Oost,52.36431,4.89932,Private room,1,1,33,81,1,28,28,28,2,14,181,4.75,Exempt
986,8837071,Cozy apartment in city center,13034277,Theo,De Baarsjes - Oud-West,52.36455,4.87712,Entire home/apt,2,1,12,140,0,0,0,0,2,1125,1,5,0363 0C20 1768 FAAA 3556
987,8872533,Apartment in Amsterdam,17669453,Jasper,De Baarsjes - Oud-West,52.36417,4.85599,Entire home/apt,3,1,24,170,0,0,0,0,3,30,11,5,0363A0C9933BDFD79295
988,8877094,Love Nest - Amsterdam,4519705,Anamaria & Leonard,Watergraafsmeer,52.3486,4.94272,Entire home/apt,4,1,20,125,0,0,2,189,3,5,34,4.91,0363 AA89 A3A0 2B30 B945
989,8879722,Cosy studio on the Houseboat Canal view,46466691,Maja,Centrum-West,52.37786,4.8863,Private room,4,1,18,170,0,20,42,191,1,1125,73,4.88,0363 DBB5 F448 15AE 6B02
990,8880908,"Trendy, bright home in city center",14183444,Bas,De Baarsjes - Oud-West,52.36779,4.87177,Entire home/apt,4,1.5,30,200,0,0,0,56,2,4,88,4.82,0363 B262 FC2D 4D19 8086
991,8896452,Elegant House in Museumquarter,2794849,Yasha & Dessi,Zuid,52.35471,4.88151,Entire home/apt,6,2,32,578,1,12,41,41,3,1125,26,4.88,0363 A649 7949 F72D 1DBF
992,8913666,Two bedroom apartment fulfilled with light.,2651625,Jussi,Westerpark,52.39134,4.87707,Entire home/apt,4,1,38,229,0,0,0,0,4,1125,21,4.86,0363 01BF 02A5 6B52 47EF
993,8920212,Beautiful spacey house at the Amstel near station,46643228,Laetitia,Watergraafsmeer,52.34139,4.92011,Entire home/apt,4,3,36,695,14,28,45,300,3,1125,19,4.63,0363 2203 A317 1780 BB69
994,8930278,Comfortable place in great area,6488934,Nadia,De Pijp - Rivierenbuurt,52.35065,4.8878,Entire home/apt,2,1.5,26,140,0,0,0,0,3,1125,27,4.93,0363 644C 888B 42B1 3FBF
995,8977362,Renovated apartement with garden,38372252,Ferdinand,Oud-Oost,52.35278,4.91919,Entire home/apt,3,1,30,249,15,42,68,286,3,1125,49,4.76,0363 0683 F040 CCEB C606
996,8981648,â˜…COSY & PRIVATE STUDIO NEAR VONDELPARK â˜…,46926830,Jan,Zuid,52.35059,4.84711,Private room,2,1,37,131,27,57,87,144,3,1001,42,4.9,0363 DEA6 BD6F C57F 4C5B
997,8987542,Charming City Apart Nautical Museum,2586468,Jaap,Centrum-Oost,52.36987,4.92512,Entire home/apt,2,1,23,230,3,14,18,293,1,1125,3,4.33,0363 CB6A F65B 9DFF 5287
998,9003963,Private Floor in Canal House at the Skinny Bridge,47021452,Louise,Centrum-Oost,52.36425,4.90359,Private room,4,1,48,117,1,19,42,249,1,1125,648,4.85,03631A1DE0E3E3AB83B6
999,9008887,Petit apartment in trendy area,47042751,Karel,De Baarsjes - Oud-West,52.37362,4.86557,Entire home/apt,2,1,22,135,0,0,0,0,3,1125,30,4.87,0363 FF38 676E 288F F8C5
1000,9021865,Central apartment @ Vondelpark,4761847,Pieter,De Baarsjes - Oud-West,52.35954,4.86128,Entire home/apt,4,1,47,500,3,10,10,72,3,28,17,5,0363 E7E2 0971 DEDB DABD
1001,9040505,Luxurious apartment. Delightful. Near museums.,47179858,Mineke,Zuid,52.35727,4.87465,Entire home/apt,2,1.5,41,285,0,0,0,0,2,30,32,4.88,0363 3D1E E1FA 4476 5BB4
1002,9045244,Loft apartment with a roofterrace close to Jordaan,29693546,Monika,Westerpark,52.37864,4.87505,Entire home/apt,1,1,66,250,3,33,63,63,7,7,45,4.84,0363 CA3D 7855 1EDA D2AA
1003,9060873,"New, bright and cosy apartment!",47265643,Magali,Oud-Oost,52.3565573,4.9175314,Entire home/apt,2,1,12,232,0,2,2,2,1,365,2,4.5,0363 AD77 7A50 99E1 5492
1004,9070642,Luxury monumental 3 floor house,47264521,Nanda En Arno,Zuid,52.35222,4.86182,Entire home/apt,6,2,66,345,0,0,0,17,3,1125,49,4.88,0
1005,9075972,Cosy place near Jordaan and Westerpark,47334123,Marten,Westerpark,52.38095,4.86907,Entire home/apt,2,1,27,130,0,0,0,0,4,1125,44,4.86,0363 E004 0220 E4EC F8B9
